Suburb,population,schools,Skate_Parks,Sport_Grounds,Playgrounds,Basketball_Courts,crimes,Suburb.1,time_to_TC,closest_TC,time_to_Hospital,closest_Hospital,Recreation&Fitness,crimesPP,Bus_Stops,Fitness_Sites,Unemployment,Transport,Education,Livability,Crime_pred,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4
Spence,2564,2,0,1,1,0,55,Spence,8.966666666666667,"Belconnen Bus Depot, ACT",12.45,"Calvary Hospital, ACT",0.55,0.02535101404056162,25,0,4.3,0.029994766938624903,21.09708465142106,94.67293585534303,0,53.125,52.77941176470588,52.43382352941176,52.088235294117645,51.74264705882353,51.397058823529406,51.05147058823529
Weetangera,2578,2,0,1,0,0,38,Weetangera,3.816666666666667,"Belconnen Bus Depot, ACT",8.533333333333333,"Calvary Hospital, ACT",0.5,0.018619084561675717,16,0,4.1,0.01745588652172289,20.513107178966276,94.64827912552443,0,26.845588235294123,26.632352941176475,26.41911764705883,26.20588235294118,25.992647058823536,25.779411764705888,25.56617647058824
Molonglo,718,0,0,0,0,0,4,Molonglo,11.616666666666667,"City Bus Station, ACT",8.95,"Calvary Hospital, ACT",0.5,0.019498607242339833,0,0,3.1,0.020117190347235782,13.365449399890114,95.66890758642917,0,2.808823529411765,2.9705882352941178,3.1323529411764706,3.294117647058824,3.4558823529411766,3.6176470588235294,3.7794117647058827
Namadgi,31,0,0,0,0,0,0,Namadgi,14.05,"Tuggeranong Bus Station, ACT",24.43333333333333,"Canberra Hospital, ACT",0.5,0.3225806451612903,0,0,4.1,0.03489050695698612,13.641374030888167,90.40450057053724,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell,9,0,0,0,0,0,138,Mitchell,8.733333333333333,Marketplace Gungahlin,11.9,"Calvary Hospital, ACT",0.5,16.444444444444443,13,0,3.1,0.02442338453548521,13.038497611104749,64.83958851596978,0,136.25735294117644,135.74999999999997,135.24264705882348,134.73529411764702,134.22794117647055,133.7205882352941,133.2132352941176
Hume,320,0,0,0,0,0,62,Hume,10.716666666666667,"Tuggeranong Bus Station, ACT",11.766666666666667,"Canberra Hospital, ACT",0.5,0.225,4,0,3.1,0.02290887678088728,13.26339508431549,92.47967699316412,0,72.21323529411765,66.09313725490196,59.97303921568627,53.85294117647058,47.73284313725489,41.61274509803923,35.492647058823536
Amaroo,5913,5,0,2,1,0,43,Amaroo,6.95,Marketplace Gungahlin,18.8,"Calvary Hospital, ACT",0.55,0.008963301200744123,15,0,3.9,0.028568491905497276,32.916600159828924,94.8871199653959,0,64.22058823529412,65.5392156862745,66.85784313725489,68.17647058823529,69.49509803921568,70.81372549019608,72.13235294117646
Bonner,5436,1,0,1,0,0,43,Bonner,6.25,Marketplace Gungahlin,19.58333333333333,"Calvary Hospital, ACT",0.5,0.00974981604120677,7,1,3.1,0.02512919735376614,16.772967552936215,95.20012952413003,0,50.49264705882352,50.88725490196078,51.28186274509803,51.67647058823529,52.07107843137254,52.4656862745098,52.86029411764705
Casey,5024,0,0,0,0,0,75,Casey,8.85,Marketplace Gungahlin,17.233333333333334,"Calvary Hospital, ACT",0.5,0.016918789808917197,12,5,4.1,0.028287331250697375,13.051726874234792,94.33626726935485,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crace,4279,0,0,1,1,0,33,Crace,8.983333333333333,Marketplace Gungahlin,13.183333333333335,"Calvary Hospital, ACT",0.55,0.01004907688712316,10,7,3.1,0.02448264469500055,13.0668460320977,95.39261125638718,0,46.830882352941174,47.26960784313725,47.70833333333333,48.14705882352941,48.58578431372549,49.02450980392157,49.463235294117645
