Suburb,population,schools,Skate_Parks,Sport_Grounds,Playgrounds,Basketball_Courts,crimes,Suburb.1,bus_to_TC,closest_TC,time_to_Hospital,closest_Hospital,Recreation&Fitness,crimesPP,Bus_Stops,Fitness_Sites,Unemployment,Transport,Education,Livability
Crace,4279,0,0,1,1,0,33,Crace,8.983333333333333,Marketplace Gungahlin,13.183333333333335,"Calvary Hospital, ACT",0.55,0.01004907688712316,10,7,3.1,0.02448264469500055,13.0668460320977,95.39261125638718
Forde,4552,1,0,0,3,2,27,Forde,7.683333333333334,Marketplace Gungahlin,21.016666666666666,"Calvary Hospital, ACT",0.75,0.00812829525483304,14,11,3.1,0.03071336689893352,16.935498499962463,95.86619294605103
Franklin,6653,2,1,0,1,0,101,Franklin,4.983333333333333,Marketplace Gungahlin,12.116666666666667,"Calvary Hospital, ACT",0.6,0.01668420261536149,19,8,3.1,0.02277925704394959,20.645399810266714,95.0777537086084
Harrison,9005,5,0,2,1,1,107,Harrison,6.05,Marketplace Gungahlin,15.2,"Calvary Hospital, ACT",0.6,0.012992781787895613,28,3,1.8,0.030041282324444512,32.8145458442543,96.12211981901808
Ngunnawal,10623,2,0,1,1,1,95,Ngunnawal,6.783333333333332,Marketplace Gungahlin,16.166666666666668,"Calvary Hospital, ACT",0.6,0.009884213499011578,60,0,3.1,0.04463632722380616,20.84950844141596,94.90291845185727
Nicholls,6760,7,0,3,0,1,82,Nicholls,10.6,Marketplace Gungahlin,15.383333333333333,"Calvary Hospital, ACT",0.55,0.013609467455621301,48,0,3.1,0.04347633737007477,41.362615620382236,95.69842808740323
Palmerston,5623,3,0,1,1,0,74,Palmerston,5.75,Marketplace Gungahlin,14.05,"Calvary Hospital, ACT",0.55,0.014938644851502756,25,0,3.1,0.02758876714271085,24.74839922500654,95.33539380393236
Acton,2325,0,0,0,1,0,142,Acton,7.116666666666666,"City Bus Station, ACT",9.516666666666667,"Calvary Hospital, ACT",0.55,0.06537634408602151,22,1,4.4,0.024400897747819825,12.855177822017001,93.76565622716784
Ainslie,5321,4,0,2,1,1,131,Ainslie,7.116666666666666,"City Bus Station, ACT",12.633333333333333,"Calvary Hospital, ACT",0.6,0.026498778425108064,34,8,4.9,0.03169926305430541,28.91943485012945,93.9625328439088
Braddon,6011,2,0,0,0,0,232,Braddon,4.133333333333334,"City Bus Station, ACT",11.366666666666667,"Calvary Hospital, ACT",0.5,0.040259524205623023,29,0,3.1,0.02530015277134516,20.54901517889068,94.67903727405567
Lake Burley Griffin,0,0,0,0,0,0,0,Lake Burley Griffin,8.6,"City Bus Station, ACT",11.0,"Calvary Hospital, ACT",0.5,inf,0,0,4.1,0.018287148961346915,13.023378453241842,64.83958414338547
Campbell,5769,5,1,1,0,0,79,Campbell,8.483333333333333,"City Bus Station, ACT",14.7,"Calvary Hospital, ACT",0.55,0.015427283758016988,44,4,7.3,0.03891927085462359,33.09047047525235,92.25664071207909
Civic,3995,0,0,0,0,0,0,Civic,2.1666666666666665,"City Bus Station, ACT",11.666666666666664,"Calvary Hospital, ACT",0.5,0.0025031289111389237,0,0,4.1,0.011509445725207713,12.293879086356577,94.45158297657865
Dickson,2351,5,0,1,1,0,200,Dickson,7.45,"City Bus Station, ACT",11.033333333333333,"Calvary Hospital, ACT",0.55,0.0893236920459379,16,0,4.9,0.023515696162040484,32.97329700181483,93.28622674737616
Downer,3705,1,0,1,1,0,35,Downer,11.033333333333333,"City Bus Station, ACT",13.05,"Calvary Hospital, ACT",0.55,0.012145748987854251,17,0,4.9,0.02955044277445078,17.315367341268004,94.15130284462272
Hackett,2877,2,0,1,1,1,80,Hackett,12.183333333333335,"City Bus Station, ACT",14.8,"Calvary Hospital, ACT",0.6,0.03128258602711158,12,0,4.9,0.030179010637020054,21.461834334863696,94.13392901854338
Parkes,0,0,0,0,0,0,45,Parkes,7.383333333333334,"City Bus Station, ACT",11.233333333333333,"Canberra Hospital, ACT",0.5,inf,11,0,3.1,0.021561940613560725,12.885416137742816,64.83958414338547
Lyneham,5038,4,0,3,1,1,232,Lyneham,8.666666666666666,"City Bus Station, ACT",9.216666666666667,"Calvary Hospital, ACT",0.6,0.048034934497816595,36,0,4.8,0.03161909044380365,29.095195060285743,93.74434287360604
O'Connor,5701,7,2,5,2,1,154,O'Connor,7.116666666666666,"City Bus Station, ACT",7.416666666666668,"Calvary Hospital, ACT",0.75,0.028766883002981934,36,0,4.9,0.028464804173914397,40.967627621213786,94.24746253240237
Reid,1826,1,0,1,1,0,163,Reid,5.366666666666666,"City Bus Station, ACT",12.166666666666664,"Calvary Hospital, ACT",0.55,0.09474260679079956,14,0,7.4,0.021219382725982415,16.672803132094455,91.0147225114533
Turner,4127,3,0,1,1,0,99,Turner,5.166666666666667,"City Bus Station, ACT",8.866666666666667,"Calvary Hospital, ACT",0.55,0.026411436879088927,19,0,7.5,0.02046535460508651,24.682252909356322,91.76059765364938
Watson,6326,3,0,1,0,0,143,Watson,12.533333333333333,"City Bus Station, ACT",14.35,"Calvary Hospital, ACT",0.5,0.02418589946253557,18,0,4.8,0.03266673375561489,25.517586381281937,93.71933991796631
Deakin,2728,5,0,2,0,2,101,Deakin,7.816666666666666,"Woden Bus Station, ACT",6.9,"Canberra Hospital, ACT",0.6,0.0406891495601173,38,13,1.9,0.0296709986319558,33.01487468593782,96.60647678345023
Forrest,1655,1,0,0,0,0,30,Forrest,9.383333333333333,"Woden Bus Station, ACT",8.466666666666667,"Canberra Hospital, ACT",0.5,0.02416918429003021,10,0,3.7,0.021276389619440124,17.12826776271453,95.03701285298226
Griffith,4308,3,0,1,0,0,183,Griffith,12.55,"Woden Bus Station, ACT",10.766666666666667,"Canberra Hospital, ACT",0.5,0.04480037140204271,24,0,3.0,0.03234521289388387,25.5194762760148,95.15479934904673
